alpha,attention_effective_rank,attention_effective_rank_lower,attention_effective_rank_upper,beta,cell_id,correlation,d,delta,distance_uniform,distance_uniform_lower,distance_uniform_upper,gamma,input_kind,jacobian_op,jacobian_op_lower,jacobian_op_upper,label,m,mask,max_mass,max_mass_lower,max_mass_upper,mean_cij2,mean_vi_vj,n,normalized_entropy,normalized_entropy_lower,normalized_entropy_upper,phi,s,sample_count,self_mass,self_mass_lower,self_mass_upper,tau
-1.0,0.1702526744459182,0.1702526744459182,0.1702526744459182,0.0,0,0.25,32,-0.5113387703895569,0.060256052762269974,0.060256052762269974,0.060256052762269974,0.0,synthetic,0.06858739256858826,0.06858739256858826,0.06858739256858826,diffuse,8,unmasked,0.0700918510556221,0.0700918510556221,0.0700918510556221,0.07063625007867813,0.9999781250953674,24,0.9887858629226685,0.9887858629226685,0.9887858629226685,0.0,0.5,1,0.026386244222521782,0.026386244222521782,0.026386244222521782,0.27102676033973694
-1.0,0.41491885439446285,0.41491885439446285,0.41491885439446285,0.0,0,0.25,32,-0.5113387703895569,0.09696491807699203,0.09696491807699203,0.09696491807699203,0.0,synthetic,0.12395120412111282,0.12395120412111282,0.12395120412111282,diffuse,8,causal,0.1344022899866104,0.1344022899866104,0.1344022899866104,0.07063625007867813,0.9999781250953674,24,0.9855561852455139,0.9855561852455139,0.9855561852455139,0.0,0.5,1,0.047994215041399,0.047994215041399,0.047994215041399,0.2624061703681946
-1.0,0.25227071840229304,0.25227071840229304,0.25227071840229304,0.0,0,,32,-0.8041597008705139,0.0664341002702713,0.0664341002702713,0.0664341002702713,0.0,real_activation,0.07564547657966614,0.07564547657966614,0.07564547657966614,diffuse,8,unmasked,0.07616531848907471,0.07616531848907471,0.07616531848907471,0.0317501537501812,0.9996583461761475,24,0.9846696257591248,0.9846696257591248,0.9846696257591248,0.0,0.5,1,0.018978523090481758,0.018978523090481758,0.018978523090481758,0.29633238911628723
-1.0,0.40379224641193034,0.40379224641193034,0.40379224641193034,0.0,0,,32,-0.8041597008705139,0.1385343372821808,0.1385343372821808,0.1385343372821808,0.0,real_activation,0.1154138520359993,0.1154138520359993,0.1154138520359993,gradient_starved,8,causal,0.11708606779575348,0.11708606779575348,0.11708606779575348,0.0317501537501812,0.9996583461761475,24,0.9803952574729919,0.9803952574729919,0.9803952574729919,0.0,0.5,1,0.03828529641032219,0.03828529641032219,0.03828529641032219,0.31193825602531433
0.0,0.1652213567965662,0.1652213567965662,0.1652213567965662,1.0,1,0.25,32,-0.010973055846989155,0.04081815108656883,0.04081815108656883,0.04081815108656883,0.0,synthetic,0.05823962390422821,0.05823962390422821,0.05823962390422821,diffuse,8,unmasked,0.05910010263323784,0.05910010263323784,0.05910010263323784,0.07063625007867813,0.9999781250953674,24,0.9943998456001282,0.9943998456001282,0.9943998456001282,0.0,0.5,1,0.040371134877204895,0.040371134877204895,0.040371134877204895,0.18661871552467346
0.0,0.4699495332209514,0.4699495332209514,0.4699495332209514,1.0,1,0.25,32,-0.010905379429459572,0.0618184395134449,0.0618184395134449,0.0618184395134449,0.0,synthetic,0.10335253924131393,0.10335253924131393,0.10335253924131393,diffuse,8,causal,0.10475101321935654,0.10475101321935654,0.10475101321935654,0.07063625007867813,0.9999781250953674,24,0.9932107925415039,0.9932107925415039,0.9932107925415039,0.0,0.5,1,0.07864568382501602,0.07864568382501602,0.07864568382501602,0.17711086571216583
0.0,0.19950505787490702,0.19950505787490702,0.19950505787490702,1.0,1,,32,-0.03316432982683182,0.04865928366780281,0.04865928366780281,0.04865928366780281,0.0,real_activation,0.060823164880275726,0.060823164880275726,0.060823164880275726,diffuse,8,unmasked,0.0613626129925251,0.0613626129925251,0.0613626129925251,0.0317501537501812,0.9996583461761475,24,0.9918891191482544,0.9918891191482544,0.9918891191482544,0.0,0.5,1,0.04142666980624199,0.04142666980624199,0.04142666980624199,0.22416643798351288
0.0,0.47254655953156616,0.47254655953156616,0.47254655953156616,1.0,1,,32,-0.03384782373905182,0.0586681105196476,0.0586681105196476,0.0586681105196476,0.0,real_activation,0.11317146569490433,0.11317146569490433,0.11317146569490433,diffuse,8,causal,0.11359535157680511,0.11359535157680511,0.11359535157680511,0.0317501537501812,0.9996583461761475,24,0.9935329556465149,0.9935329556465149,0.9935329556465149,0.0,0.5,1,0.0740918517112732,0.0740918517112732,0.0740918517112732,0.16248904168605804
0.0,0.16986683303312303,0.16986683303312303,0.16986683303312303,0.7071067811865476,2,0.25,32,0.04605145379900932,0.04349145293235779,0.04349145293235779,0.04349145293235779,0.7071067811865476,synthetic,0.0596812404692173,0.0596812404692173,0.0596812404692173,diffuse,8,unmasked,0.0603288933634758,0.0603288933634758,0.0603288933634758,0.07063625007867813,0.9999781250953674,24,0.9925329685211182,0.9925329685211182,0.9925329685211182,0.7853981633974483,0.5,1,0.04174621030688286,0.04174621030688286,0.04174621030688286,0.2113661915063858
0.0,0.48442848912894654,0.48442848912894654,0.48442848912894654,0.7071067811865476,2,0.25,32,0.03952556103467941,0.06345997005701065,0.06345997005701065,0.06345997005701065,0.7071067811865476,synthetic,0.10299023985862732,0.10299023985862732,0.10299023985862732,diffuse,8,causal,0.10336017608642578,0.10336017608642578,0.10336017608642578,0.07063625007867813,0.9999781250953674,24,0.9939698576927185,0.9939698576927185,0.9939698576927185,0.7853981633974483,0.5,1,0.07502319663763046,0.07502319663763046,0.07502319663763046,0.17979289591312408
0.0,0.19430861602173144,0.19430861602173144,0.19430861602173144,0.7071067811865476,2,,32,-0.04014590010046959,0.04764605686068535,0.04764605686068535,0.04764605686068535,0.7071067811865476,real_activation,0.06199655309319496,0.06199655309319496,0.06199655309319496,diffuse,8,unmasked,0.06282103061676025,0.06282103061676025,0.06282103061676025,0.0317501537501812,0.9996583461761475,24,0.9919853210449219,0.9919853210449219,0.9919853210449219,0.7853981633974483,0.5,1,0.03667742386460304,0.03667742386460304,0.03667742386460304,0.21004287898540497
0.0,0.4695533841013151,0.4695533841013151,0.4695533841013151,0.7071067811865476,2,,32,-0.048706065863370895,0.06860853731632233,0.06860853731632233,0.06860853731632233,0.7071067811865476,real_activation,0.10607636719942093,0.10607636719942093,0.10607636719942093,diffuse,8,causal,0.1101173684000969,0.1101173684000969,0.1101173684000969,0.0317501537501812,0.9996583461761475,24,0.9912218451499939,0.9912218451499939,0.9912218451499939,0.7853981633974483,0.5,1,0.06153498962521553,0.06153498962521553,0.06153498962521553,0.20322826504707336
0.0,0.1669355771114048,0.1669355771114048,0.1669355771114048,6.123233995736766e-17,3,0.25,32,0.02508510835468769,0.04386911168694496,0.04386911168694496,0.04386911168694496,1.0,synthetic,0.05679269880056381,0.05679269880056381,0.05679269880056381,diffuse,8,unmasked,0.05686333402991295,0.05686333402991295,0.05686333402991295,0.07063625007867813,0.9999781250953674,24,0.9936960935592651,0.9936960935592651,0.9936960935592651,1.5707963267948966,0.5,1,0.04253285005688667,0.04253285005688667,0.04253285005688667,0.20146314799785614
0.0,0.4769232421023932,0.4769232421023932,0.4769232421023932,6.123233995736766e-17,3,0.25,32,0.06887458264827728,0.06997428089380264,0.06997428089380264,0.06997428089380264,1.0,synthetic,0.10317158699035645,0.10317158699035645,0.10317158699035645,diffuse,8,causal,0.10441800951957703,0.10441800951957703,0.10441800951957703,0.07063625007867813,0.9999781250953674,24,0.9935505986213684,0.9935505986213684,0.9935505986213684,1.5707963267948966,0.5,1,0.0824081152677536,0.0824081152677536,0.0824081152677536,0.18470461666584015
0.0,0.19758399776785687,0.19758399776785687,0.19758399776785687,6.123233995736766e-17,3,,32,0.11272887885570526,0.05426415801048279,0.05426415801048279,0.05426415801048279,1.0,real_activation,0.06133262813091278,0.06133262813091278,0.06133262813091278,diffuse,8,unmasked,0.06227608025074005,0.06227608025074005,0.06227608025074005,0.0317501537501812,0.9996583461761475,24,0.9898615479469299,0.9898615479469299,0.9898615479469299,1.5707963267948966,0.5,1,0.04355736821889877,0.04355736821889877,0.04355736821889877,0.25935810804367065
0.0,0.48117905500962843,0.48117905500962843,0.48117905500962843,6.123233995736766e-17,3,,32,0.10729824006557465,0.11688391119241714,0.11688391119241714,0.11688391119241714,1.0,real_activation,0.11273308843374252,0.11273308843374252,0.11273308843374252,gradient_starved,8,causal,0.11554322391748428,0.11554322391748428,0.11554322391748428,0.0317501537501812,0.9996583461761475,24,0.9871330261230469,0.9871330261230469,0.9871330261230469,1.5707963267948966,0.5,1,0.07915127277374268,0.07915127277374268,0.07915127277374268,0.25909224152565
1.0,0.22090746406945572,0.22090746406945572,0.22090746406945572,0.0,4,0.25,32,0.5576068758964539,0.06039629131555557,0.06039629131555557,0.06039629131555557,0.0,synthetic,0.06659036129713058,0.06659036129713058,0.06659036129713058,diffuse,8,unmasked,0.068242646753788,0.068242646753788,0.068242646753788,0.07063625007867813,0.9999781250953674,24,0.9900797009468079,0.9900797009468079,0.9900797009468079,0.0,0.5,1,0.068242646753788,0.068242646753788,0.068242646753788,0.23901838064193726
1.0,0.5863089712613786,0.5863089712613786,0.5863089712613786,0.0,4,0.25,32,0.5576068758964539,0.09887649118900299,0.09887649118900299,0.09887649118900299,0.0,synthetic,0.14605805277824402,0.14605805277824402,0.14605805277824402,diffuse,8,causal,0.15394511818885803,0.15394511818885803,0.15394511818885803,0.07063625007867813,0.9999781250953674,24,0.9875683188438416,0.9875683188438416,0.9875683188438416,0.0,0.5,1,0.15394511818885803,0.15394511818885803,0.15394511818885803,0.2004760503768921
1.0,0.2490695179832173,0.2490695179832173,0.2490695179832173,0.0,4,,32,0.6896421313285828,0.07454565912485123,0.07454565912485123,0.07454565912485123,0.0,real_activation,0.07510175555944443,0.07510175555944443,0.07510175555944443,diffuse,8,unmasked,0.07728419452905655,0.07728419452905655,0.07728419452905655,0.0317501537501812,0.9996583461761475,24,0.9823777079582214,0.9823777079582214,0.9823777079582214,0.0,0.5,1,0.07355040311813354,0.07355040311813354,0.07355040311813354,0.31439247727394104
1.0,0.6213558738004575,0.6213558738004575,0.6213558738004575,0.0,4,,32,0.6896421313285828,0.13060402870178223,0.13060402870178223,0.13060402870178223,0.0,real_activation,0.1489509642124176,0.1489509642124176,0.1489509642124176,boundary_uncertain,8,causal,0.1576790064573288,0.1576790064573288,0.1576790064573288,0.0317501537501812,0.9996583461761475,24,0.9748004078865051,0.9748004078865051,0.9748004078865051,0.0,0.5,1,0.1576790064573288,0.1576790064573288,0.1576790064573288,0.3476335108280182
-1.0,0.4027063040097112,0.4027063040097112,0.4027063040097112,0.0,5,0.25,32,-2.009148597717285,0.19069813191890717,0.19069813191890717,0.19069813191890717,0.0,synthetic,0.15046177804470062,0.15046177804470062,0.15046177804470062,screened_candidate,8,unmasked,0.16170351207256317,0.16170351207256317,0.16170351207256317,0.07063625007867813,0.9999781250953674,24,0.8981137275695801,0.8981137275695801,0.8981137275695801,0.0,1.0,1,0.004913119599223137,0.004913119599223137,0.004913119599223137,0.9411946535110474
-1.0,0.4111573118872935,0.4111573118872935,0.4111573118872935,0.0,5,0.25,32,-2.009148597717285,0.3094668984413147,0.3094668984413147,0.3094668984413147,0.0,synthetic,0.19008256494998932,0.19008256494998932,0.19008256494998932,screened_candidate,8,causal,0.24535582959651947,0.24535582959651947,0.24535582959651947,0.07063625007867813,0.9999781250953674,24,0.8658098578453064,0.8658098578453064,0.8658098578453064,0.0,1.0,1,0.009838219732046127,0.009838219732046127,0.009838219732046127,0.9833313226699829
-1.0,0.4816449920341926,0.4816449920341926,0.4816449920341926,0.0,5,,32,-2.539217710494995,0.27391722798347473,0.27391722798347473,0.27391722798347473,0.0,real_activation,0.19998961687088013,0.19998961687088013,0.19998961687088013,screened_candidate,8,unmasked,0.22396212816238403,0.22396212816238403,0.22396212816238403,0.0317501537501812,0.9996583461761475,24,0.8396537899971008,0.8396537899971008,0.8396537899971008,0.0,1.0,1,0.0031142928637564182,0.0031142928637564182,0.0031142928637564182,0.9973517060279846
-1.0,0.4685888758219619,0.4685888758219619,0.4685888758219619,0.0,5,,32,-2.539217710494995,0.37577393651008606,0.37577393651008606,0.37577393651008606,0.0,real_activation,0.25844842195510864,0.25844842195510864,0.25844842195510864,screened_candidate,8,causal,0.35563236474990845,0.35563236474990845,0.35563236474990845,0.0317501537501812,0.9996583461761475,24,0.7839868068695068,0.7839868068695068,0.7839868068695068,0.0,1.0,1,0.0076318238861858845,0.0076318238861858845,0.0076318238861858845,1.0111888647079468
0.0,0.42355245133493674,0.42355245133493674,0.42355245133493674,1.0,6,0.25,32,0.029963970184326172,0.16845296323299408,0.16845296323299408,0.16845296323299408,0.0,synthetic,0.1212012991309166,0.1212012991309166,0.1212012991309166,gradient_starved,8,unmasked,0.1271803081035614,0.1271803081035614,0.1271803081035614,0.07063625007867813,0.9999781250953674,24,0.9152874946594238,0.9152874946594238,0.9152874946594238,0.0,1.0,1,0.030580393970012665,0.030580393970012665,0.030580393970012665,0.7998371124267578
0.0,0.45002086922082457,0.45002086922082457,0.45002086922082457,1.0,6,0.25,32,-0.21719154715538025,0.20623981952667236,0.20623981952667236,0.20623981952667236,0.0,synthetic,0.19750730693340302,0.19750730693340302,0.19750730693340302,screened_candidate,8,causal,0.21722261607646942,0.21722261607646942,0.21722261607646942,0.07063625007867813,0.9999781250953674,24,0.9228420257568359,0.9228420257568359,0.9228420257568359,0.0,1.0,1,0.05580197274684906,0.05580197274684906,0.05580197274684906,0.642630934715271
0.0,0.48763086686562335,0.48763086686562335,0.48763086686562335,1.0,6,,32,0.1032084971666336,0.1897919923067093,0.1897919923067093,0.1897919923067093,0.0,real_activation,0.12577012181282043,0.12577012181282043,0.12577012181282043,gradient_starved,8,unmasked,0.13703058660030365,0.13703058660030365,0.13703058660030365,0.0317501537501812,0.9996583461761475,24,0.9153061509132385,0.9153061509132385,0.9153061509132385,0.0,1.0,1,0.028643734753131866,0.028643734753131866,0.028643734753131866,0.7602896690368652
0.0,0.506890715352861,0.506890715352861,0.506890715352861,1.0,6,,32,0.08159531652927399,0.2116515338420868,0.2116515338420868,0.2116515338420868,0.0,real_activation,0.21744368970394135,0.21744368970394135,0.21744368970394135,screened_candidate,8,causal,0.2510789632797241,0.2510789632797241,0.2510789632797241,0.0317501537501812,0.9996583461761475,24,0.9125580191612244,0.9125580191612244,0.9125580191612244,0.0,1.0,1,0.06238430365920067,0.06238430365920067,0.06238430365920067,0.7093181014060974
0.0,0.4227605205297627,0.4227605205297627,0.4227605205297627,0.7071067811865476,7,0.25,32,0.2526671886444092,0.1899850070476532,0.1899850070476532,0.1899850070476532,0.7071067811865476,synthetic,0.1275498867034912,0.1275498867034912,0.1275498867034912,gradient_starved,8,unmasked,0.1366206556558609,0.1366206556558609,0.1366206556558609,0.07063625007867813,0.9999781250953674,24,0.9266804456710815,0.9266804456710815,0.9266804456710815,0.7853981633974483,1.0,1,0.03928046301007271,0.03928046301007271,0.03928046301007271,0.7474870085716248
